Time,Winner,Rounds Played,P1,P2,P1 Dice,,,,,P2 Dice,,,,,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call
2022-11-02 17:38:20.753756,Computer_intelligent2,5,Computer_intelligent2,Computer_sensible,4,1,5,4,6,6,6,2,5,4,1,2,2,1,3,5,4,1,p1_bw,,,,,,,,,,,
2022-11-02 17:38:21.941973,Computer_intelligent2,3,Computer_intelligent2,Computer_drunk,2,6,3,2,2,2,3,5,4,5,2,6,3,4,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:38:22.798241,Computer_intelligent2,2,Computer_intelligent2,Computer_sensible,6,6,4,3,1,1,2,6,4,6,1,3,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:38:23.654669,Computer_intelligent2,2,Computer_intelligent2,Computer_drunk,2,6,5,5,2,3,2,4,1,6,1,2,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:38:24.836535,Computer_intelligent2,3,Computer_intelligent2,Computer_drunk,4,2,2,6,4,5,1,6,4,6,2,2,6,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:38:26.340594,Computer_intelligent2,4,Computer_intelligent2,Computer_sensible,2,1,3,5,1,6,5,2,2,3,1,3,1,4,1,6,p2_bl,,,,,,,,,,,,,
2022-11-02 17:38:27.209697,Computer_intelligent2,2,Computer_intelligent2,Computer_sensible,1,6,6,5,6,6,1,2,3,3,1,3,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:38:28.051840,Computer_intelligent2,2,Computer_intelligent2,Computer_sensible,1,2,4,6,5,2,3,5,3,3,1,4,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:38:30.221758,Computer_omni,6,Computer_intelligent2,Computer_omni,5,1,4,3,5,3,1,3,4,3,1,4,1,6,2,4,2,6,3,4,p2_bw,,,,,,,,,
2022-11-02 17:38:31.373953,Computer_intelligent2,3,Computer_intelligent2,Computer_sensible,4,6,6,6,5,4,6,6,1,1,2,2,3,3,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:38:32.511781,Computer_intelligent2,3,Computer_intelligent2,Computer_omni,5,4,5,3,3,4,5,1,3,2,2,3,3,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:38:34.015984,Computer_omni,4,Computer_intelligent2,Computer_omni,4,5,5,2,4,4,4,5,5,1,1,2,1,4,1,6,p2_bw,,,,,,,,,,,,,
2022-11-02 17:38:34.838722,Computer_intelligent2,2,Computer_intelligent2,Computer_sensible,1,2,2,5,1,1,2,6,2,5,2,5,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:38:37.018940,Computer_sensible,6,Computer_intelligent2,Computer_sensible,4,1,4,2,4,6,2,4,5,5,1,3,1,4,2,6,3,4,4,3,p2_bw,,,,,,,,,
2022-11-02 17:38:38.216495,Computer_intelligent2,3,Computer_intelligent2,Computer_drunk,4,2,4,2,3,3,4,3,5,1,1,3,8,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:38:40.388378,Computer_sensible,6,Computer_intelligent2,Computer_sensible,5,3,1,5,6,2,3,2,4,1,1,6,2,5,2,6,3,1,4,1,p2_bw,,,,,,,,,
2022-11-02 17:38:41.260928,Computer_intelligent2,2,Computer_intelligent2,Computer_sensible,6,2,1,6,4,5,2,1,4,3,2,6,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:38:42.134019,Computer_intelligent2,2,Computer_intelligent2,Computer_drunk,4,5,5,3,3,6,5,2,6,2,2,2,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:38:43.019422,Computer_drunk,2,Computer_intelligent2,Computer_drunk,4,1,3,4,3,2,6,5,6,6,2,5,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:41:25.213719,Computer_drunk,2,ak,Computer_drunk,5,3,5,3,5,4,6,5,5,2,4,3,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:41:54.782239,ak,5,ak,Computer_drunk,6,6,6,6,5,4,5,4,5,5,5,6,6,3,6,6,7,3,p1_bw,,,,,,,,,,,
2022-11-02 17:42:08.577849,Computer_sensible,2,ak,Computer_sensible,2,4,1,3,4,2,1,6,3,4,4,4,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:42:23.083658,Computer_sensible,2,ak,Computer_sensible,5,4,6,3,4,4,5,5,4,5,3,3,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:45:03.734060,ak,3,ak,Computer_drunk,6,2,5,4,4,6,3,3,1,3,4,4,4,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:45:27.566803,ak,3,ak,Computer_drunk,5,1,3,6,6,3,5,6,5,5,3,2,9,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:46:44.959126,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,3,1,4,6,6,2,2,1,1,2,1,3,6,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:46:45.828388,Computer_omni,2,Computer_intelligent1,Computer_omni,4,1,1,4,6,5,6,4,4,2,2,3,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:46:46.715938,Computer_intelligent1,2,Computer_intelligent1,Computer_intelligent1,5,3,1,6,1,1,5,4,5,2,2,6,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:46:48.529527,Computer_intelligent1,5,Computer_intelligent1,Computer_intelligent1,3,4,6,3,1,4,1,1,6,5,1,4,1,6,2,5,3,2,p1_bw,,,,,,,,,,,
2022-11-02 17:46:49.695507,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,2,3,4,6,5,6,6,6,3,3,2,1,4,3,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:46:50.601244,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,6,4,6,5,5,3,4,6,5,6,1,6,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:46:51.835878,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,2,4,6,6,6,2,3,2,2,4,1,4,10,4,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:46:52.690738,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,1,1,3,2,3,1,6,5,3,4,1,2,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:46:53.919758,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,3,3,2,4,4,3,5,2,6,6,1,2,2,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:46:55.134107,Computer_intelligent1,3,Computer_intelligent1,Computer_omni,2,3,1,1,4,5,2,2,2,3,2,1,2,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:46:56.038655,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,2,6,3,3,3,3,2,4,3,2,2,2,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:46:57.264663,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,2,3,3,3,4,5,2,1,6,1,1,2,5,3,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:46:58.477785,Computer_intelligent1,3,Computer_intelligent1,Computer_omni,1,5,5,2,1,1,1,2,2,1,1,2,2,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:46:59.707633,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,5,4,2,3,1,4,6,6,4,3,2,1,7,1,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:01.613023,Computer_intelligent1,5,Computer_intelligent1,Computer_intelligent1,3,1,3,1,1,4,5,4,4,2,1,2,1,4,2,5,3,2,p1_bw,,,,,,,,,,,
2022-11-02 17:47:02.526887,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,4,1,5,1,6,6,4,6,6,1,2,6,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:47:03.736274,Computer_omni,3,Computer_intelligent1,Computer_omni,6,5,3,3,4,5,1,1,6,6,2,6,3,6,p1_bl,,,,,,,,,,,,,,,
2022-11-02 17:47:06.266493,Computer_intelligent1,7,Computer_intelligent1,Computer_omni,4,6,1,3,1,3,5,2,6,1,1,2,1,5,1,6,2,1,2,6,3,3,p1_bw,,,,,,,
2022-11-02 17:47:07.479043,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,6,4,3,2,4,3,3,2,3,1,2,2,8,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:09.050018,Computer_intelligent1,4,Computer_intelligent1,Computer_intelligent1,5,3,5,1,4,3,2,6,4,2,1,4,1,6,2,5,p2_bl,,,,,,,,,,,,,
2022-11-02 17:47:10.618401,Computer_intelligent1,4,Computer_intelligent1,Computer_intelligent1,3,5,6,4,4,6,4,4,5,6,1,4,1,6,2,2,p2_bw,,,,,,,,,,,,,
2022-11-02 17:47:11.514817,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,4,3,5,2,6,3,6,1,5,3,1,5,p2_bl,,,,,,,,,,,,,,,,,
